vessel_id,SpeedOG,FOCDeviation,wind_speed,draft
1007,18.32,23.8,2.25,10.675
1007,18.3,21.7,2.25,10.685
1007,18.35,22.8,2.25,10.685
1007,18.25,22.2,2.25,10.69
1007,18.44,19.7,2.25,10.67
1007,18.46,19,2.25,10.695
1007,18.59,16.7,2.25,10.68
1007,18.36,20.3,2.25,10.675
1007,18.46,18.8,2.25,10.69
1007,18.36,20.3,2.25,10.69
1007,18.27,22.6,2.25,10.685
1007,18.32,27.9,2.42,10.67
1007,18.18,29.5,2.42,10.71
1007,18.23,28.3,2.42,10.685
1007,18.21,29,2.42,10.685
1007,18.08,31,2.42,10.7
1007,18.03,32.5,2.42,10.685
1007,18.42,25.8,2.42,10.68
1007,18.37,24.5,2.42,10.705
1007,18.52,24.1,2.42,10.68
1007,18.46,23,2.42,10.7
1007,18.53,22.1,2.42,10.7
1007,18.38,25,2.42,10.675
1007,18.45,26.9,3.98,10.68
1007,18.62,23.3,3.98,10.715
1007,18.76,21.8,3.98,10.695
1007,19.07,15.7,3.98,10.71
1007,19.25,11.1,3.98,10.725
1007,19.1,14.6,3.98,10.705
1007,18.72,21.1,3.98,10.695
1007,18.73,21.1,3.98,10.69
1007,18.66,21.8,3.98,10.71
1007,18.51,24.5,3.98,10.695
1007,18.54,24.6,3.98,10.69
1007,18.64,22.6,3.98,10.7
1007,18.75,17.8,3.43,10.7
1007,18.9,15,3.43,10.695
1007,19.06,11.7,3.43,10.71
1007,19.19,10,3.43,10.69
1007,19.28,8.7,3.43,10.72
1007,19.05,12.7,3.43,10.7
1007,18.93,14.8,3.43,10.685
1007,18.87,16.4,3.43,10.685
1007,18.9,15.4,3.43,10.685
1007,18.84,17,3.43,10.715
1007,19.14,12.9,3.43,10.69
1007,18.75,8.9,4.67,10.71
1007,18.56,14.9,4.67,10.675
1007,18.32,17.8,4.67,10.675
1007,18.58,17.4,4.67,10.68
1007,18.71,11.7,4.67,10.715
1007,18.72,11.2,4.67,10.67
1007,18.55,13.5,4.67,10.68
1007,18.76,12.7,4.67,10.69
1007,17.2,42.7,4.67,10.645
1007,17.45,41.8,4.29,10.675
1007,17.92,28.5,4.29,10.7
1007,17.75,32,4.29,10.695
1007,17.82,31.9,4.29,10.68
1007,18,28.3,4.29,10.685
1007,18.24,23.5,4.29,10.685
1007,15.45,7,3.69,10.18
1007,15.3,9.8,3.69,10.185
1007,14.75,8.3,3.2,10.265
1007,14.69,9.8,3.2,10.27
1007,14.81,7.9,3.2,10.25
1007,14.74,7.9,3.2,10.255
1007,14.6,11.4,3.2,10.27
1007,14.56,12.5,3.2,10.255
1007,14.59,23.6,5.9,10.145
1007,14.6,22.4,5.9,10.14
1007,14.78,44.2,5.9,10.165
1007,16.93,27.2,5.9,10.17
1007,16.88,25.3,5.9,10.28
1007,17.05,24.5,5.9,10.375
1007,14.34,26.1,5.9,10.385
1007,14.91,28.6,5.9,10.295
1007,15.49,9.3,5.9,10.26
1007,18.89,19.2,12.7,10.06
1007,18.81,21.7,12.7,10.065
1007,18.9,18.6,12.7,10.07
1007,18.82,23.5,12.7,10.065
1007,18.82,19.1,12.7,10.085
1007,18.83,19.8,12.7,10.03
1007,19,16.5,12.7,10.065
1007,18.93,17.3,12.7,10.065
1007,18.89,19.6,12.7,10.07
1007,19,17,12.7,10.07
1007,18.9,18.9,12.7,10.06
1007,18.66,24,12.7,10.085
1007,19.87,34.3,12.69,10.025
1007,19.88,35.5,12.69,10.01
1007,19.99,33,12.69,10.01
1007,19.94,33.4,12.69,10.015
1007,19.9,34.9,12.69,10.035
1007,19.7,39.5,12.69,10.02
1007,19.71,40.4,12.69,10.025
1007,19.96,35.4,12.69,10.02
1007,20.1,32.3,12.69,10.035
1007,19.9,33.8,12.69,10.01
1007,19.77,37.3,12.69,10.01
1007,19.75,38.1,12.69,10
1007,19.69,45.1,10.85,10.005
1007,19.78,42.3,10.85,9.98
1007,19.8,41.8,10.85,9.985
1007,19.8,41.5,10.85,10
1007,19.71,45.5,10.85,10.01
1007,19.63,46.3,10.85,10.015
1007,19.55,49.5,10.85,10.01
1007,19.6,48.3,10.85,10
1007,19.43,51.9,10.85,9.985
1007,19.44,52.9,10.85,10.01
1007,19.38,53.1,10.85,10.01
1007,19.36,58,10.85,10.015
1007,19.53,38.3,9.47,10.005
1007,19.35,40.8,9.47,10
1007,19.24,43.7,9.47,10.02
1007,19.33,42.2,9.47,10.015
1007,19.49,37.7,9.47,10.015
1007,19.66,33.9,9.47,10.03
1007,19.81,30.5,9.47,10.035
1007,20,26.5,9.47,10.025
1007,19.99,26.6,9.47,10.03
1007,20.15,24.7,9.47,10.025
1007,20.22,23.6,9.47,10.025
1007,20.4,20.1,9.47,10.03
1007,17.66,12.3,6.71,10.025
1007,17.31,19.4,6.71,10.035
1007,17.2,18.9,3.05,10.02
1007,17.1,20.9,3.05,10.015
1007,17.14,19.2,3.05,10.01
1007,16.94,22.4,3.05,10
1007,17.19,23.9,3.05,10.005
1007,17.31,22.8,3.05,10
1007,17.59,17.9,3.05,10.005
1007,17.75,14.1,3.05,10.005
1007,17.76,13.7,3.05,10.005
1007,17.62,15.1,3.05,9.995
1007,17.57,16.2,3.05,10
1007,17.84,12.2,3.05,10.01
1007,17.5,23.2,9.45,9.995
1007,17.26,27.2,9.45,9.985
1007,17.49,24.5,9.45,10
1007,17.55,22,9.45,10
1007,17.62,21.6,9.45,9.995
